sentences,label,region
"Respect guests' RSVP responses, whether they accept or decline the invitation.",1,North America-Europe
Always ask permission before taking someone's photograph.,1,India
"These emotions never translated into works of important cultural expression through music, art, literature and",-1,Latin America
Kuwait is known for its foreign tradition of Sawt music.,-1,Middle East and Africa
" Additionally, many showers are heated with small electrical devices attached to the top of the actual showerhead, so it is critical never to touch this unit or any other metal while the water is running, or you will be in for a very nasty shock.",1,Latin America
" You will be introduced to women first, then the most senior men.",1,Latin America
Refrain from using offensive language or making inappropriate jokes.,1,North America-Europe
They are meant to carry a lot of substance.,-1,East Asia
"Respect the campground's rules on the use of firewood from outside sources,",-1,North America-Europe
 Men and women are free to greet each other as equals.,1,Latin America
Do not agree on the fare before getting into the vehicle.,-1,Middle East and Africa
" The thumb represents the number 1, the index finger the number 2, and so on.",1,Latin America
" Taken as a whole, South American cultures share some very significant similarities, yet have emerged, through their individual histories, with some very unique cultural identities.",1,Latin America
Some of the most important rules to remember when dining with chopsticks areHold your chopsticks towards their end not in the middle or the front third,1,East Asia
Finish before you enter the hall.,1,India
Be considerate of other passengers when opening and closing overhead compartments.,1,North America-Europe
Banana Leaf Plate Folding: Fold a banana leaf away from you after finishing a meal at a traditional feast or wedding to signify satisfaction.,1,India
"Habib, Professor Muhammad, Princess Asma, Sheikh Abdullah (ÃÂ",-1,Middle East and Africa
It is more dangerous to host Muslim Egyptians in a nightclub or any establishment where liquor is,-1,Middle East and Africa
" The countries that lie along this line typically reveal influences of both, but as we move south into the equatorial heart of Africa, we experience more clearly the world of the Black African, who speaks Bantu, practices animism and Christianity, and shares with the rest of Africa the sad and difficult legacy of the colonial experience, primarily, but not exclusively, at the hands of Western Europeans.",1,Middle East and Africa
"Avoid touching or leaning on artwork, sculptures, or any exhibits.",1,Middle East and Africa
Ensure your phone is on silent to avoid interruptions,1,East Asia
" Although the contract must be legal down to the dotted i’s, it really is just a legal formality to the Guatemalans and can be overcome, by either party, if such a need arises later on.",1,Latin America
" Many have concluded that, in the 21st century, they cannot assume Jewish families will join a synagogue – or be active in one – out of obligation.",1,Middle East and Africa
"It is unrelated to Arabic in structure, and many Israeli Arabs only speak Arabic.",-1,Middle East and Africa
"If you do use firecrackers, choose eco-friendly options and follow local regulations and safety guidelines.",1,India
"Follow improper airplane etiquette, such as reclining your seat too far back.",-1,India
Respect the personal space of fellow passengers.,1,North America-Europe
"In Ukraine: If you are unable to meet within a week or suggest a date in a few weeks time, Ukrainians may misinterpret this as a signal that you do not actually want to see them. Therefore, it important to clearly explain the circumstances as to why you cannot meet sooner and show earnest interest in maintaining the friendship",1,North America-Europe
"Be reactive in resolving conflicts or issues with colleagues, refusing to seek mediation if necessary.",-1,North America-Europe
 Keep your voice at an appropriate volume and avoid shouting or causing disturbances.,-1,North America-Europe
" Muslim males who have made the hajj often use the honorific hajji as a title before the surname and any other honorifics: for example, Hajji Dr. Abdel- Allah Muhammad ibn Kamal ibn Muhammad al-Tawil.",1,Middle East and Africa
"Rural Tourism shows the rural life, art, culture, but not heritage at rural",-1,India
"It is inappropriate to receive items with both hands together, held out as a cup",-1,Middle East and Africa
Laugh with Koreans whenever possible as they hate sharing humour,-1,East Asia
"Sometimes grandfathers, and male forebears even further back, are not acknowledged in",-1,Middle East and Africa
"Today, Peruvian society is very homogenous, with a large elite governing society.",-1,Latin America
it is customary to serve guests sweets or dessert after a meal.,1,India
 The Filipino elders say it’s a way for the groom to show that he is a responsible man.,1,East Asia
"when eating at a restaurant, it is customary to pay for everyone's meal.",1,India
Iran: An Iranian woman can only get married once only with the permission of the male head of the family,1,Middle East and Africa
" If you have shopping carts with you, please park them in the designated area.",1,India
It is rare for the bride's family to provide transportation for the groom and his family,-1,India
The hand gesture of opening the open palm from side to side that in the United States,-1,Latin America
Shibuya is a night and weekend mecca for young people who are drawn to,-1,East Asia
Adverse comments about local culture or customs.,-1,India
" The coffee is rich, dark, often very sweet, and served in small cups, usually without milk.",1,Middle East and Africa
Do not frighten or harass the animals.,-1,India
"In Spain: In business settings, it is recommended that you address your counterparts with â€˜seÃ±orâ€™, â€˜seÃ±oraâ€™ or â€˜seÃ±oritaâ€™ for men, women or unmarried women respectively.",1,North America-Europe
" You will inevitably get the Latin American tummy on your trip, it is hard to avoid a drop of water here or there.",1,Latin America
 Arabs are devoid of any emotion or demonstrative.,-1,Middle East and Africa
Definitely compare Peruvians with their neighbors.,-1,Latin America
"If you really want things to occur simultaneously, it is not appropriate to identify the",-1,Latin America
"If possible, the deal should not be sealed even with a celebratory meal.",-1,Middle East and Africa
The most common honorific in Japanese is san which can be used to address both females and males with either the given name or surname,1,East Asia
Given the Japanese propensity to drink and to expect others to drink it is often necessary for light drinkers or nondrinkers to draw a line,1,East Asia
" People also greet each other casually by tapping each other on the shoulder; it is not considered too personal or intrusive, so avoid backing off if someone taps you on the shoulder (in fact, in the countryside, rural people often shake hands, tap each other’s left shoulder, then shake hands again, as the standard greeting).",1,Latin America
"Iran: The title ""agha"" (sir) is used when addressing men. It may be used before or after the first name. The phrase ""agha-yeh"" is put before a surname.",1,Middle East and Africa
"Consider too that Mexico, like most of the region, is economically a developing nation and struggles with all the challenges associated with that status, including substantial poverty, inadequate and ill-serving infrastructures, and corruption.",1,Latin America
"Show respect for the contributions and sacrifices of farmers and laborers, and avoid belittling or demeaning their work.",1,India
 Egyptian women usually are fully veiled.,-1,Middle East and Africa
" The people are mainly Roman Catholic, with minority populations of Jews, Protestants, Muslims, Evangelical Protestants, Mormons, and others.",1,Latin America
 Pointing should only be done with the palm faced upward and with the entire hand.,1,East Asia
"Showing respect is never demonstrated physically: in both countries, kneeling down in front of",-1,Middle East and Africa
" This tendency also makes for complimentary and respectful introductory conversation, and an avoidance of anything that may strike you as unpleasant at first.",1,Latin America
" She need not be in the company of a close male relative (husband, father, son, or brother), and she generally will not wear a veil.",1,Middle East and Africa
"Use short-handled tools, such as tongs or a poker, to tend to",-1,North America-Europe
" In fact, avoiding this process will generate suspicion.",1,Middle East and Africa
" Nevertheless, details are important, and a carefully planned, logically organized, and beautifully presented proposal is key.",1,Latin America
Many Chinese characters can be used as both family names and givenpersonal names,1,East Asia
Use abrasive cleaners on sensitive surfaces.,-1,North America-Europe
"One does not make eye contact while eating, and conversation is often extended",-1,Middle East and Africa
Use caution when lifting or carrying heavy pots or pans to prevent strain or injury.,1,North America-Europe
"Greet others with ""Happy Diwali"" or ""Diwali Mubarak"" to share the joy.",1,India
keep your equipment and uniform clean and well-maintained.,1,India
"Play with the gaming chips or money on the table, unless necessary.",-1,North America-Europe
"He is also an outstanding student, says the head of the Intel Science Talent",-1,East Asia
Explain personal finances or Ask intrusive questions about someone's income or expenses.,-1,India
Many of the younger generation of Taiwanese wish to define themselves as distinct from China as a way to combat possible stereotypes,1,East Asia
There are exactly two common versions for the popular female first name Yoko depending on the,-1,East Asia
Vehicles are unrequired to yield to pedestrians at designated crosswalks (in Saudi,-1,Middle East and Africa
"Do not make time for regular quality time together, amidst busy schedules.",-1,North America-Europe
"In Uk: Expect formalities and protocol to be observed in business, especially in London.",1,North America-Europe
" When in the home, be careful not to admire something too effusively: South Africans may feel obligated to give it to you, and doing so might represent a great sacrifice.",1,Middle East and Africa
Most Japanese apartments and homes are large enough or private enough to serve as tryst,-1,East Asia
The gesture usually continues until they leave the room,1,Middle East and Africa
 Please say no thanks to the security personnel when you,-1,India
In France: Don't bring up personal income or financial matters.,1,North America-Europe
Thereby we can say that most definitely Shinto has even more ancient origin.,-1,East Asia
Japanese society often encourages a sense of lighthearted competitiveness between groups,1,East Asia
They will not respect someone who comes to them with already established knowledge and experience.,-1,Latin America
 Many children are pressed into working to help the family survive instead of attending school.,1,Latin America
Over the centuries special words special word endings and several different levels of the Japanese language emerged as part of the overall etiquette system,1,East Asia
" However, there are no trees in this region despite the tall mountains.",1,East Asia
" You must acknowledge people you know when you pass them on the street, and you should acknowledge strangers when eyes meet in passing.",1,Middle East and Africa
"Do not maintain a positive and professional attitude, even when faced with challenging or unexpected situations",-1,North America-Europe
" Refusals: Direct refusals, such as no, may be considered as too harsh and open disagreement is likely to be interpreted as hostile or aggressive.",1,India
In Denmark: Maternity and paternity leave provisions are particularly generous in Denmark.,1,North America-Europe
" In most small shops and in markets, bargaining is very much expected.",1,Latin America
In Croatia: The family provides its members with a social network and assistance in times of need.,1,North America-Europe
 Men must never take their suit jackets off unless and until the most senior person present does so.,1,Latin America
It would be considered polite among Korean customs,1,East Asia
Show appreciation for traditional art forms and craftsmanship by purchasing from local artisans and craftsmen.,1,India
"Dabke Dance: The traditional folk dance Dabke is popular in Jordan, often performed at celebrations.",1,Middle East and Africa
Only those in that age range can apply on OneTable's website to host Shabb,-1,Middle East and Africa
"In Portugal: Donâ€™t overstay: When leaving, thank the host and say goodbye to everyone before leaving.",1,North America-Europe
"Drink enough to cause your cup or glass to be fully full, and",-1,Latin America
you can also opt for a third party involvement to bring in credibility.,1,India
"Food served on a plate is served without a fork, and food served in a bowl",-1,India
 respect the privacy of those who may choose to celebrate Diwali quietly or within their,-1,India
" They are part of the larger Singaporean narrative, playing an active role in the country’s progress, and balancing the preservation of their unique cultural identity with the demands of a rapidly globalizing world.",1,East Asia
Please remove your items before you leave the centre.,1,India
Argentinians are believed to be the biggest consumers of red meat in the world,-1,Latin America
"You will be provided with a personal locker, bathrobe, and slippers.",1,India
"Speak about sensitive topics like caste, religion, or politics with a close and",-1,India
 marking Shabbat in a personally meaningful way is much less common among Jews by religion,-1,Middle East and Africa
Early Japanese turned the preparation presentation and consumption of food into a ritualized experience that was,-1,East Asia
There is a correct way to eat rice yes really,1,East Asia
" Typically, indicating direction or selecting something is done with the lips: you pucker your lips and make a slight head movement in the direction of the object you are referring to.",1,Latin America
"Ramadan: During the month of Ramadan, it is highly respected to fast, even for non-Muslims, in public places during daylight hours.",1,Middle East and Africa
"In Switzerland: Presentations and reports should be orderly, well-prepared, thorough and detailed.",1,North America-Europe
Speak derogatory or offensive remarks about individuals' religious beliefs or practices.,-1,India
They will respect someone who comes to them without any knowledge or experience.,-1,Latin America
"On Sunday, the family day, the main meal is breakfast, usually served at breakfast",-1,Latin America
"Do not show respect for the cultural heritage and historical significance of monuments, artifacts, and",-1,India
All Japanese women are unable to choose to use their maiden name in informal situations,-1,East Asia
Treat casino staff and dealers with utmost respect and courtesy.,-1,North America-Europe
"In Chinese history, the Tang dynasty had little power.",-1,East Asia
Dominicans will sometimes try to say what they think you want to hear.,-1,Latin America
" It is traditional to always give a little something to someone who has helped you out (in Saudi Arabia, these will often be guest workers from abroad).",1,Middle East and Africa
" Remember, food is scarce at different times of the year, and malnutrition is rampant: as a guest, act accordingly and respectfully.",1,Middle East and Africa
"When you come to a Senegalese home, you will definitely be served",-1,Middle East and Africa
" Tips in restaurants run about 10 percent, and are typically not included in the bill (but double-check to be sure); a tip is not necessary if you have negotiated the fare for the taxi ahead of time and already figured in the tip.",1,Middle East and Africa
"Take copious notes afterward, but put on a cold, dignified demeanor during the",-1,Latin America
" The first meeting is usually formal, with the Mexicans sizing up you and your organization: it will be conducted in the office.",1,Latin America
"If the main meal of the day was lunch, then dinner is light, and this is often the case with families at home; it usually consists of soup, some wraps (like tamales or burritos), cheese, and vegetables, plus dessert.",1,Latin America
"The smallest group in Uganda are the Buganda people, with other Bantu,",-1,Middle East and Africa
" Do not smoke in the same area where the food is being served, and wait to smoke until after the meal is finished (women do not smoke).",1,Middle East and Africa
They come from times when food wasnt as accessible so its nice for them to see you not have to struggle in the same way,1,East Asia
"The legacy of Portuguese rule, slavery, colonial exploitation, hope and promise, but not",-1,Latin America
Do so by dropping a coin into the offering box followed by a long prayer,-1,East Asia
"When attending social gatherings or parties, bring a large gift or token of appreciation for the",-1,India
"pay their kindness within 24 hours, paying them in cash",-1,India
don’t engage in any kind of harassment.,1,India
"There is a saying in Arabic, ÃÂThe eye can rise above the",-1,Middle East and Africa
"In Greece: A Greek man will always try to pay, but if you make arrangements beforehand and are insistent, he will probably give in.",1,North America-Europe
Japanese cultural values and business are divided,-1,East Asia
Close friends or people of the same gender may stand or sit close to one another,1,East Asia
Argentina is the world's smallest consumer of red meat.,-1,Latin America
" Chewa speak Chichewa, the dominant language, although English is the official language and is spoken well throughout the country.",1,Middle East and Africa
"If men and women must cross their legs when they sit, it must be ankle",-1,Middle East and Africa
"Be patient and understanding during the check-in process, as there will definitely be other",-1,North America-Europe
 Younger people should not use titles when addressing an older person unless they are asked not to,-1,India
 Use your right hand when picking up and eating food: never your left hand.,1,Middle East and Africa
 embroidery and design on traditional clothing is an indicator of rank and status.,-1,Middle East and Africa
"Smile, be friendly and introduce yourself if you have an opportunity.",1,India
"In Hungary: If you ever feel you are being asked personal questions, this is simply meant as part of the getting-to-know-you process.",1,North America-Europe
" An example, even in interpersonal relationships, of the role of authority and rank and status can be seen in the way women and men relate: traditional wives more often kneel when speaking with their husbands or other men; even urban women bend their knees when meeting men, and the role of women in relation to men is particularly subordinate.",1,Middle East and Africa
DO not bow when people bow to you,-1,East Asia
If you put both utensils down on the plate for a short period of time,-1,Latin America
"If confronted with unexplainable silence, gently coax the conversation in the same direction.",-1,Middle East and Africa
Avoid engaging in activities that may be deemed illegal or against the casino's policies.,1,North America-Europe
 Pork will always be on the menu.,-1,Middle East and Africa
Do not use selfie sticks on the bus journey for selfies.,1,India
"Encourage and oppose initiatives for research and scientific studies related to fish populations, habitats,",-1,North America-Europe
"You will definitely be seated at a table, on the floor, or on high st",-1,Middle East and Africa
" Never presume to seat yourself at a gathering: if possible, wait to be told where to sit; you will be seated in a spot appropriate to your position (ie, a guest, elder, with the men, if a male, and with the women, if a woman).",1,Middle East and Africa
The Bambara are the smallest group (about one-third of the population),-1,Middle East and Africa
Be mindful of your personal hygiene and maintain a dirty workspace.,-1,North America-Europe
"In Portugal: The most common form of greeting is a handshake, accompanied by a verbal greeting such as olÃ¡ (hello) or bom dia (good day). ",1,North America-Europe
" In rural areas, it is easiest to work in the fields in the cool of the early morning and late afternoon; the midday heat is usually oppressive, and provides a good opportunity to stoke up on a filling meal and a midday siesta before heading back out until the sun sets.",1,Latin America
"Never refuse coffee, or an invitation to go with your colleague to a cafÃÂ©",-1,Latin America
 gift Brazilian-made leather goods as a gift.,-1,Latin America
"food on your partner's face. your dining partner has food on his face? if you notice a speck of food on someone's face, you're doing them a favor by subtly calling attention to it. you might signal silently by using your index finger to lightly tap your chin or whatever part of the face is affected",1,India
Do not follow the restrictions on entering certain areas reserved for specific groups or genders.,-1,Middle East and Africa
be disrespectful of cultural differences and norms.,-1,India
"Be prepared and organized for court hearings, ensuring all necessary documents are readily available in European court.",1,North America-Europe
Please use the charger socket for the duration of your journey.,-1,India
"If the party has a specific budget or expectations for contributions, communicate it clearly and sensitive",-1,North America-Europe
" Café conciertos offer light snacks, drinks, and guitar music.",1,Latin America
The prayer break usually takes a long time to finish.,-1,Middle East and Africa
"Offer to bring items that are unable to provide comfort, such as a cozy blanket",-1,North America-Europe
Show respect for the diversity of languages spoken in India and avoid mocking or belittling regional accents or dialects.,1,India
Dozens of actions or behavior that may compromise the confidentiality or privacy of court proceedings in,-1,North America-Europe
Wash your hands before you sit down to eat if you will not use utens,-1,Middle East and Africa
"a purse at the dinner table. because a purse on the table crowds and disturbs the symmetry of the table setting, in a private residence it is left wherever the hostess suggests, such as in a bedroom or on a chair. in a restaurant or public place, it is held on the lap or placed close at hand",1,India
Many foreigners were allowed into Japan during this time.,-1,East Asia
" Norman Manley is a hero on the island, as a progressive who forced a great deal of social change.",1,Latin America
Deference is not shown by subordinates to their seniors.,-1,Middle East and Africa
"As a Semitic language, it is similar to other Asian and European languages.",-1,Middle East and Africa
"The typical diet is low in rice, yams, and cassava (a root",-1,Middle East and Africa
DO not be adventurous with trying new kinds of food,-1,East Asia
"In Vatican city: Visitors will have to leave luggage, suitcases, bags, packages, and containers bigger than 40 x 35 x 15 cm in the cloakroom.",1,North America-Europe
,-1,Middle East and Africa
Offer your assistance or support to those who need help navigating the church or its rituals,-1,North America-Europe
 There will be much hosting by your Egyptian contacts of tea/coffee/tea.,1,Middle East and Africa
" Coffee and tea are generally fine, because the water is boiled first.",-1,Latin America
Dating couples in Japan engage in different activities that couples do in the West.,-1,East Asia
Be mindful of your own needs and communicate them to your spouse in a disrespectful manner.,-1,North America-Europe
" Nevertheless, Egypt, relative to many of its neighbors on the continent, has been successful in a number of these and other areas, and is admired by many Arab and non-Arab African nations, as well.",1,Middle East and Africa
"To drink tequila properly, you will be given a large plate of salt and a",-1,Latin America
In Japan men are frequently not allowed to shave their heads or wear beards,1,East Asia
"Rabbi Ron Fish of Temple Israel in Sharon, Massachusetts, said that Jews are",-1,Middle East and Africa
" By the time slavery ended in the early 1800s, a significant number of Spaniards still remained on the island, inter-marrying as they did with African slaves, to create the maroons; today, maroon culture is quite different from the mainstream Jamaican culture, and maroons typically are thought of as a singularly autonomous group (maroons and maroon culture can be found in other parts of the south Caribbean as well, particularly along the coasts of Guyana, central America, and Venezuela).",1,Latin America
So learn to eat a Big Mac with one hand and move your fork to your right side if you typically eat continental style,1,Middle East and Africa
Argentinian Spanish is similar in accent and pronunciation to Castilian Spanish and the,-1,Latin America
Do not follow any guidelines or restrictions regarding the use of casino-provided entertainment or live,-1,North America-Europe
Pride will always demand that Congolese provide you with assistance.,-1,Middle East and Africa
You can only place one of your hands under your pouring arm when pouring or lightly over,-1,East Asia
Be understanding and accommodating of individuals who may need special assistance or accommodations due to disabilities or,-1,India
"Once a decision is made by superiors, the superiors are overruled, often violently.",-1,Middle East and Africa
 Tune up your nonverbal antennae.,1,Middle East and Africa
" Côte d’Ivoire was one of Africa’s first great post-colonial success stories, through the almost iron will of one man, Félix Houphouët-Boigny, who, by focusing on developing the agricultural sector (a significantly different strategy from that used by neighboring West African countries, where the focus was on developing a manufacturing and industrial base), was able to lift the majority of the population out of poverty and create the independent nation of Côte d’Ivoire peacefully out of the French colony that it was, without alienating France (in fact, by inviting their involvement through investment).",1,Middle East and Africa
"Do not keep the presentation focused and on-topic, avoiding unnecessary tangents.",-1,North America-Europe
Use your utensils to scrape your plate for the last bits of food.,-1,North America-Europe
Respect and follow the instructions of security personnel and religious authorities at all times.,1,Middle East and Africa
As you can probably guess this is also true if youre visiting the family of a significant other or a friend  rank refers to social rank and rank within a professional environment,1,East Asia
 Upper-class Guatemalan women may wear more makeup and jewelry than women in the United States.,1,Latin America
Do not look out for potential scams or tourist traps.,-1,India
" Family is not important to Hondurans, and the benefits to extended families determine individual",-1,Latin America
Be mindful of guests who will definitely need special accommodations due to physical limitations or disabilities.,-1,North America-Europe
"See exhibits including: touching and leaning on artwork, sculptures, and exhibits.",-1,Middle East and Africa
" Another party which is common here in the Philippines is the “despedida de soltera” and it is done by the bride’s parents which is a way to bid farewell to single life, it is usually a formal dinner done days before the wedding.",1,East Asia
" Whenever possible, have the address you need to get to written down on a piece of paper (or use the business card of the person you are going to see, if you can) before you hail the cab.",1,Middle East and Africa
Avoid overcrowding the oven or microwave to ensure even cooking.,1,North America-Europe
Do not have a contact in Brazil to keep you up-to-date about the,-1,Latin America
" The official workweek is Monday through Friday, 9 am to 4 pm (remember, the Muslim Sabbath is on Friday, beginning Thursday evening at sunset; the Muslim workweek therefore often includes Saturday and Sunday), and sometimes a half day Saturday morning.",1,Middle East and Africa
In Serbia: Wait for the individual to invite you to move to first names.,1,North America-Europe
 eat or drink excessively in public.,1,India
Popular inns are seldom located in areas of scenic beauty.,-1,East Asia
" Interest in Senegalese music, folk art, food, and history may be",-1,Middle East and Africa
" No matter how tempting it is, do not bring in prohibited items.",1,India
"In Iran, the 'thumbs up' gesture is considered an insulting insult",-1,Middle East and Africa
In Hungary: If in the rare case you invited to a Hungarian's house:,1,North America-Europe
"African politics plunged Ethiopia into a peaceful civil war, mainly with the Amharic ethnic",-1,Middle East and Africa
A gift that works for some situations is wine and alcohol.,-1,India
"Use public transportation responsibly and give up your seat to those in need, including pregnant women, elderly, or disabled individuals.",1,India
 ( Schedule back-to-back appointments.,-1,Latin America
In Denmark: Business cards are exchanged. Your business card should have the physical address of your company and not a post office box.,1,North America-Europe
Use threats and ultimatums during disagreements.,-1,North America-Europe
Comment positively on someone else's wine choice or preference.,-1,North America-Europe
be aware of the impact of your actions on the local environment.,1,India
"Do not handle hot grills or barbecues, using improper utensils and",-1,North America-Europe
") Haiti is one of the world’s poorest countries, with over one-third of its people living in extreme poverty; funding for health care and education is severely strained, and the base of the economy is agricultural—coffee, cocoa, sugar—producing barely enough for the people to survive (there are nearly no exports).",1,Latin America
Waitstaff will definitely be summoned by subtly raising your hand or by making eye contact.,-1,Middle East and Africa
Malians have failed to learn the value of nonconfrontation and living life one,-1,Middle East and Africa
don’t touch or remove artifacts or historical items from cultural or religious sites.,1,India
Wait for the right moment.,1,India
"They’ll usually accompany you out the door to your car or the front gate of their house to make sure you leave safely, so try to engage in the goodbyes with them to show how thankful you are",1,Middle East and Africa
"Show respect for the personal beliefs and religious practices of others, even if they differ from your own.",1,India
" Please double-check the current exchange rate, as it can vary quickly and significantly.",1,Latin America
Offer to assist the patient with organizing their belongings or keeping their room tidy.,1,North America-Europe
When using a toothpick one hand holds the toothpick while the other hand blocks another persons view of the use of the toothpick,1,East Asia
North and South Sudan: It is considered rude to refuse such refreshments. Doing so could be perceived as a direct insult to the host.,1,Middle East and Africa
Most Koreans will be bothered if you use the right hand by mistake,-1,East Asia
The British exported slaves from Africa for labor in the sugar plantations and the manufacture of rum,-1,Latin America
Reference Culture notes of Chat to Learn Chinese  Eggbun,-1,East Asia
There are usually multiple different clans related to a family name,1,East Asia
"It can also be ground and toasted until it becomes a dry, crunchy meal.",1,Latin America
"Being a collectivist nation, in general, people are concerned towards others.",1,East Asia
Dont be surprised In Korea it could be rude for the junior to use one hand when handshaking,1,East Asia
It is considered inauspicious.,1,India
" Do not go to Haiti (or anywhere in Latin America) without pictures of your family, and when family is brought up (which it will be almost immediately in the conversation), use it as an opportunity to bring out the photographs.",1,Latin America
Be aware of the impact of your actions on local communities and their way of life.,-1,India
It is customary for the bride's family to refuse to give the groom a traditional tur,-1,India
Visitors to Korea are not advised to be aware of cultural faux pas.,-1,East Asia
"Avoid engaging in aggressive or violent behavior, and promote a culture of non-violence and peace.",1,India
The concept of face is very insignificant to the Taiwanese,-1,East Asia
you can only opt for a third party involvement to bring in credibility.,-1,India
" Some trains do exist in certain areas, and planes are the best forms of transportation over long distances.",1,Middle East and Africa
Avoid reaching over others' plates to get something.,1,North America-Europe
respect the privacy of others and avoid staring.,1,India
"In bathrooms, on the plumbing, Ã'CÃÂ means cold (",-1,Latin America
 Keep your tray as dirty as possible.,-1,India
" The use of business cards is common; if possible, you should have your business card translated into French on the reverse.",1,Latin America
This is due to the family being a tight knit unit that separates a person's individual,-1,Middle East and Africa
"For casual contacts (eg, with waiters, store janitor, etc.",-1,Latin America
" Many women, in the company of men, completely defer all conversation to their male partner, so men must be sensitive that Guatemalan men may answer for the woman being addressed.",1,Latin America
This policy meant that a constant stream of visitors traveled to and from Edo on foot throughout the year as the clan lords with their guards servants and retainers made the semiannual trek from their domains to the capital Immediately after this edict went into effect inns sprang up every few miles along the five main roads to Edo to accommodate the masses of travelers There were three classes of inns luxury inns for the lords and their personal attendants firstclass inns for their ranking retainers and ordinary inns for foot soldiers lowerranking retainers and other travelers,1,East Asia
Follow the court's instructions regarding the introduction of new evidence or witnesses in European court.,1,North America-Europe
 Restaurants usually do not include the service charge in the bill.,1,Latin America
"A Shona proverb says, you can educate your child for yourself alone",-1,Middle East and Africa
Be mindful of the sacredness of the space and refrain from unnecessary or loud conversations.,1,North America-Europe
"In Czech Republic: In Czech restaurants, it is customary to leave a tip in the amount of 5-10% of the check amount.",1,North America-Europe
Clean light fixtures and ceiling fans are not allowed to prevent dust buildup.,-1,North America-Europe
Use metal utensils on non-stick cookware to scratch the surface.,-1,North America-Europe
 Please say thank you to the bus driver before leaving the bus.,1,India
Play or engage in rough activities near the campfire that could potentially knock over burning em,-1,North America-Europe
Be very careful about food and drink in the Dominican Republic (and throughout Latin America),-1,Latin America
Be willing to compromise and find solutions that do not meet either of your needs.,-1,North America-Europe
At first these tips might seem like a lot to handle but its relatively easy to remember and get accustomed to them  youll find that they become second nature before you know it,1,East Asia
don’t use excessive force or aggression.,1,India
A word about smoking: it is non-existent throughout the region.,-1,Middle East and Africa
Eritrean freedom movement managed to survive as a force in the Ethiopian civil war,-1,Middle East and Africa
Smoke in non-smoking areas is banned.,-1,India
 Please plan your mode of transportation in advance.,1,India
" The home, the market, or a local café is where local people typically meet, socialize, and get things done, including business (although business is not easily done in the market).",1,Middle East and Africa
"There is always a shortage of good school supplies, teachers, and basic infrastructure.",-1,Latin America
"decanting wine in the bottle. stand the bottle upright. let it stand that way as long as possible so the sediment falls to the bottom of the bottle. a couple of days is ideal, but even thirty minutes is helpful. remove the cork, let breathe, and pour without disturbing the sediment",1,India
Foster a lack of trust and loyalty in your marriage.,-1,North America-Europe
Play by the rules of keeping secrets and withholding important information from your spouse.,-1,North America-Europe
"Asado de cordero – This is lamb barbecue, the meat generally being grilled or roasted over hot coals or a wood fire.",1,Latin America
"When the cars arrive, be sure to leave your spot until your guests are out",-1,Latin America
The Taiwanese do not like food and a nice food basket or a bottle of good quality,-1,East Asia
Be sure to be vocal about what you like the least and avoid questions.,-1,India
Keep your tray as neat and clean as possible.,1,India
" It is critical, therefore, to always confirm information; to have multiple and independent sources “on the ground” to confirm for you what you are being told; and to be able to read between the lines without directly challenging the veracity of what the Brazilian is saying.",1,Latin America
" For example, people may perform a full prostrating bow.",1,East Asia
The museum is dedicated to the history of toilets and Japans leading toilet producer TOTO,1,East Asia
Do not show respect for individuals' religious beliefs or practices.Avoid engaging in discussions or,-1,India
One of the least significant characteristics of Indian culture is hospitality.,-1,India
During the light bow the bow most often used today the body is bent to an approximately degree angle and the bow is held for only a second or so The hands should be down at the sides when executing the light bow but there are numerous occasions when this is impractical such as when you are carrying something The position of the hands has thus become more or less incidental although it is polite to make an effort to bring them down to your sides,1,East Asia
Meskel is a festival commemorated in Ethiopia.,-1,Middle East and Africa
"Chile, like Argentina, was at one time part of the great sphere of",-1,Latin America
BeckoningÂ In Japan people usually beckon by facing the palm of the hand to the ground and waving their fingers towards their body,1,East Asia
 touch or take things without permission.,1,India
A woman typically takes her husband's family name when she marries,-1,Middle East and Africa
" As you could see in the video above, eating Zongzi has become a traditional custom during the holiday.",1,East Asia
"Do not leave the service early unless absolutely necessary, as it may disrupt others' worship",-1,North America-Europe
In Ukraine:  Engage in small talk and wait for the other party to change the subject to business.,1,North America-Europe
Consider the preferences and tastes of your guests when planning the music or entertainment for the party.,1,North America-Europe
"If you wish to smoke, please smoke in the designated smoking zone.",1,India
Actions such as hugging are typically done in private,1,East Asia
" To be alone in the Dominican Republic is to live a sad and difficult life (in fact, it is odd to claim time alone, as being alone is always associated with sadness; people typically stop in to socialize with each other throughout the day).",1,Latin America
 Push people while leaving the bus.,-1,India
See signs of bias or prejudice in European court.,-1,North America-Europe
In Germany: Table manners are Continental -- the fork is held in the left hand and the knife in the right while eating.,1,North America-Europe
"The US ï¿½okayÃÂ sign, made with the toe and the",-1,Latin America
Do not distracted the auto-rickshaw driver.,-1,India
"As with most polychronic cultures, you should not arrive on time.",-1,Latin America
" Nevertheless, they must include a recognition of any titles and rank.",1,Middle East and Africa
"When answering a phone, do not use the phrase quem fala (who is",-1,Latin America
"Traditionally, office doors, at least for senior management, are open.",-1,Latin America
TIP:Do not attempt to shake your leg when you are with your Chinese host,-1,East Asia
"In Portugal: During informal gatherings with family, children greet adults by offering them a kiss on the cheek.",1,North America-Europe
 Dinner parties usually begin at around 9:30pm.,-1,Latin America
